가게 이름,댓글,날짜,강수량,최고기온(℃),평균기온(℃),최저기온(℃),일조합(hr),일조율(%),일사합(MJ/m2),계절,날씨,ㅁ,눈
한식,한 다섯번째 방문하는것같아요 처음엔 돌문어 구이가 너무 맛잇어서 왔다가 오늘은 소갈비살 먹으러 왔어 요 사장님 정말 친절하시고 센스도 좋으세요(...,2024-04-04,0.0,20.3,15.5,12.4,3.6,28.1,15.47,봄,흐림,,
한식,서울대입구역 7번 출구쪽에 위치한 볏짚구이이야기! 일단 이 근처에서 볏짚으로 초벌한 장어와 꼼장어를 먹을 수 있는 집이 몇이나 있을까 싶습니다! 훈...,2024-05-18,0.0,26.5,20.7,16.0,11.3,79.0,26.88,봄,맑음,,
한식,장어 처음 구워먹어봤는데 정말 맛있었어요!!,2024-06-28,0.0,32.5,26.6,21.3,13.2,89.2,28.84,여름,맑음,,
한식,"서울대입구 맛집 인정합니다~~ 술안주로도 안성맞춤
이고요.~ 백김치가 예술입니다. 신선한 재료로 깔끔한
 음식을 먹으니 기분이 좋습니다..또 옵니다.꼭이요",2024-05-08,0.0,21.4,14.7,9.0,11.0,78.6,27.21,봄,맑음,,
한식,잡내하나 없이 완벽합니다~ 같이나오는 두부도 궈셔 드시면 킹왕짱입니다!!,2024-06-25,0.0,27.2,22.9,19.1,10.7,72.3,25.24,여름,맑음,,
한식,직원분들 사장님 다 친절하시고 모든음식 다 맛있습니다^^,2024-07-01,0.0,31.3,26.3,22.0,8.3,56.5,24.69,여름,맑음,,
한식,여자친구랑 네이버 검색으로 찾아왔는데 고기도 신선하고 맛나네요~ 잘먹고 가요!,2024-06-21,0.0,33.9,28.1,22.9,10.3,69.6,24.75,여름,맑음,,
한식,솔직히 개인적으로 방송 많이 나왔다고해서 사실 많 이 기대안했는데 여긴 진찌였어요 반찬 맛있고 장어 지인짜 맛있어요! 이렇게 탱글탱글하고 맛있는 ...,2024-04-05,0.0,18.8,14.0,10.2,6.2,48.4,17.11,봄,흐림,,
한식,"장어가 초벌되어 나오니 더 맛있어요
먹물라면은 고급 그잡채 ㅎㅎㅎ
맛있게 먹고 갑니다! 또 올게요~~~^^",2024-05-03,0.0,27.9,19.7,12.2,12.8,92.8,28.28,봄,맑음,,
한식,먹어본 꼼장어중에 제일 맛있었고 산꼼장어 드셔보시 라고 두조각 주셨는데 너무 맛있어서 충격.....다음엔 무조건 산꼼 먹을거에요ㅠㅠ 추가 메뉴 질문하...,2024-04-04,0.0,20.3,15.5,12.4,3.6,28.1,15.47,봄,흐림,,
한식,처음 와봤는데 와... 정말 맛있어요!!! 사장님이 직접 구워주셔서 찐으로 맛있습니다👍🏻👍🏻👍🏻다음에 도 오려고요!!!,2024-04-22,0.0,24.1,18.8,15.0,4.6,34.3,19.34,봄,흐림,,
한식,"꼼장어랑 소갈비살이 엄청 고소하고 맛있어요! 밑반찬 안주들도 맛있게 잘 나와서 너무 좋았어요😊
가게 내부도 아주 깨끗해요!",2024-06-21,0.0,33.9,28.1,22.9,10.3,69.6,24.75,여름,맑음,,
한식,"일끝나고 자주오는 집인데, 항상 변함없이 맛있고 찐맛집 인정!! 사장님도 친절하시고 매장도 깨끗하고 좋습니다. 리뷰잘안남기는데 여기는 찐입니다!!!^^",2024-05-16,0.1,19.8,13.7,6.9,13.1,92.3,31.35,봄,비,,
한식,서울 장어 원탑식당 !! 처음왔는데 너무 맛있고 매장도 깔끔합니다아♥️♥️♥️🩷👍🏻💕,2024-05-27,0.0,22.6,18.5,14.1,9.9,68.3,26.89,봄,맑음,,
한식,장어가 가성비 짱이구 메뉴가 다양해요 그리고 넘 친절하세요 맛도 각각 다 괜찮아요 주차 안되는 곳도 많은데 가능해서 넘 조아요 맛납니다 재방문각,2024-05-08,0.0,21.4,14.7,9.0,11.0,78.6,27.21,봄,맑음,,
한식,사장님 넘넘 친절하시고 아주 술안주 킬러인 우리 입맛에 딱인 음식점입니다 집근처 맛집으로 아주 자주올것같아요!!,2024-04-06,0.0,18.9,12.7,8.0,6.6,51.6,17.49,봄,맑음,,
한식,"신선한 와규 갈빗살 , 넘 맛있어요! 기대 이상!",2024-06-13,0.0,32.8,26.4,20.0,13.3,90.5,29.8,여름,맑음,,
한식,"너무 맛있습니다. 봉천동 숨은 맛집 갈비살. 먹어본데
중 1번 장어. 별로 안좋아했는데 너무맛있음 생각비귐
 밑반찬. 먹어보고 바로 맛집인거 눈치챔",2024-06-24,0.0,27.9,24.3,21.2,7.0,47.3,19.62,여름,흐림,,
한식,"너무너무맛있어서 기절
꼼장어는 이맛이저
최고에요 반찬부터 메인까지 맛도리!!",2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
한식,"꼼장어 맛집이라고 들었는데 역시나
맛있는 맛에 두번 감동합니다",2024-06-24,0.0,27.9,24.3,21.2,7.0,47.3,19.62,여름,흐림,,
한식,밑반찬들이 깔끔하고 맛있어요 민물장어가 품절이라 산꼼장어 먹었는데 산꼼장어도 맛있네용! 주먹밥 시 키면 무말랭이도 같이 나와요! 직원분 친절하시...,2024-05-10,0.0,23.8,17.9,12.5,12.5,88.7,28.02,봄,맑음,,
한식,간만에 숯불구이가 먹고싶어서 찾은 볏짚구이이야기! 사장님도 너무 친절하시고 고기 퀄리티도 너무 좋아 서 맛있고 기분좋게 먹었습니다! 사장님이랑 도...,2024-04-15,17.1,20.0,16.0,11.7,0.0,0.0,3.18,봄,비,,
한식,맛있어요!! 오랜만에 왔는데 여전히 맛있네요!!,2024-06-06,0.0,31.4,24.1,19.3,9.3,63.3,24.47,여름,맑음,,
한식,"근방 민물장어 중 최고에여 !
짱맛있어요 !!",2024-05-17,0.0,24.9,18.3,10.8,10.8,75.5,24.4,봄,맑음,,
한식,매번 올 때마다 사장님도 너무 친절하시고 음식은 말해뭐합니까.. 그냥 맛있습니다 진짜 ㅎㅎ 매번 맛있어유,2024-05-16,0.1,19.8,13.7,6.9,13.1,92.3,31.35,봄,비,,
한식,강력추천입니다 너무 맛있어요 쓰러질뻔했어요 직원분도 친절하시고 사장님은 더 친절하네요 또방문할깨요,2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
한식,예전부터 너무 맛집이라 오던곳인데 이제야 리뷰를 남기네요 ㅠㅠ 사장님도 너무 친절하시고 오실때마다 너무 잘해주시고 특히 장어가 너무 맛있어서 일...,2024-03-30,0.0,15.6,8.8,3.0,5.4,43.2,16.07,봄,흐림,,
한식,처음 방문 해보는 곳인데 일단 첫번째 맛있네요!! 사장 님 너무 친절하셔요 처음 방문했는데 고기 처음에 구 워주시면서 설명도 잘 해주셔서 맛있게 구워먹...,2024-03-30,0.0,15.6,8.8,3.0,5.4,43.2,16.07,봄,흐림,,
한식,"꼼장어 좋아하는데 이집만큼 맛있는곳 없는거같아요!
직원분들도 친절하시고 꼼장어도 너무너무 맛있어요
ㅎㅎ 다음에 또 방문 할게요!",2024-06-14,0.0,33.0,26.3,21.4,9.1,61.5,24.24,여름,맑음,,
한식,"역시 다시와도 맛있습니다 
신메뉴 닭안창살도 진짜맛나여",2024-06-21,0.0,33.9,28.1,22.9,10.3,69.6,24.75,여름,맑음,,
한식,"장어가 맛있고 구워주셔서 편해요!
잔가시도 많이없고 초벌되어 나와서 잡내도 전혀없습니다😚😚",2024-05-13,0.0,24.5,18.3,11.9,13.1,92.9,30.09,봄,맑음,,
한식,"음식도 맛있고, 기본적으로 초벌이 되어있어 빠르게 먹는게 가능했습니다.
사장님도 친절하고 좋았어요",2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
한식,재료가 싱싱하고 맛있어요!!! 사이드들도 하나같이 맛있네요. n번째 재방문 중임다 ㅋ,2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
한식,"존,맛,탱
장어 탱탕 계란찜 보슬보슬 쏘맥 크~~
직입니다 번창하십시요 올때마다 폭식합니당",2024-05-16,0.1,19.8,13.7,6.9,13.1,92.3,31.35,봄,비,,
한식,첫방문인데 맛있게 먹었습니다^^ 또 올게여!😀,2024-06-03,0.0,28.7,22.2,15.7,11.2,76.7,29.95,여름,맑음,,
한식,잡네도 없고 초벌이 되어서 나와서 살짝만 구우면 되서 좋아요 직원분들도 친절해요,2024-05-14,0.0,24.7,18.8,12.7,13.0,91.5,30.02,봄,맑음,,
한식,휴가 복귀전 최고의 선택입니다!,2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
"육류,고기요리",신림 와규 맛집 오랜만에 소고기 먹고싶어서 부뚜막 다녀왔어요. 신림 주민이라 몇번 갔는데 부위 설명도 잘 해주시고 친절해서 너무 좋아용^^ 된장찌개...,2024-06-24,0.0,27.9,24.3,21.2,7.0,47.3,19.62,여름,흐림,,
"육류,고기요리",오랜만에 소고기가 넘 먹고싶어서 찾아보다가 발견한 부뚜막 !! 가성비소고기는 이젠 싫어서 차라리 좀 더 주더라도 맛있고 행복한 고기를먹고싶어서 방...,2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
"육류,고기요리",주변에 고기집 넘쳐나도 발걸음이 마음대로 부뚜막 을 향해 가요. 매 번 먹어도 매 번 새로운 맛과 정성이 느껴집니다. 친절을 곁들인 맛집 부뚜막 3행시 ...,2024-06-23,5.1,30.1,25.1,22.5,3.8,25.7,18.84,여름,비,,
"육류,고기요리",예약하고 가서 서비스로 받은 육회도 너무 맛있었고 와규맛집이지만 한돈을 먹었는데 한돈도 너무너무 맛 있었어요. 지금까지 먹은 고기와 다른 식감과 ...,2024-06-26,0.0,31.6,24.9,18.9,12.3,83.1,27.64,여름,맑음,,
"육류,고기요리","정말 맛있게 잘 먹었습니다! 친절하신 사장님 덕분에 
너무 기분 좋은 하루를 보냈어요! 와규모듬 무조건 드
세요ㅠㅠ 입에서 살살 녹는데 정말 꿀맛이에요!...",2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
"육류,고기요리",배고파서 먹다 아차 싶어 그다음부터 찍었지만 공휴 일인데도 불구하고 테이블마다 신경을 잘 써주시더라 구요 반찬이나 소스 없어지면 바로 채워주시고 ...,2024-05-06,12.3,15.7,13.9,13.4,0.0,0.0,2.71,봄,비,,
"육류,고기요리",고기 질이 좋아서 씹으면 육즙 팡팡 넘 맛있어요!!! ❤️ 고깃집 된장찌개 핵핵핵 좋아하는 사람으로써 된찌 계속 리필해주시는 것도 너무 좋았습니다!! 고...,2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
"육류,고기요리","고기가 먹고 싶어 검색으로 알게 되었는데 직원분이 고기 설명도 잘해주시고 친절하십니다. 고기도 부드 럽고 맛있었고, 된장찌개도 서비스로 주셔서 ...",2024-05-29,0.0,26.8,21.2,15.4,13.2,91.0,29.38,봄,맑음,,
"육류,고기요리",저번에 돼지고기 먹고 맛있어서 소고기도 먹으러 또 방문했습니다! 생일이었는데 직원분이 들으시고 서비 스도 스윽 주시고 센스가 엄청나시네요! 맛있는...,2024-06-27,0.0,31.6,26.3,20.6,9.3,62.8,23.84,여름,맑음,,
"육류,고기요리",진짜 고기 너무너무 맛있어요!!! 직원분들도 모두 친절하시고 서비스 육회까지 짱입니다!!👍🏻👍🏻 회식으로도 자주 오는데 또 올꺼에용~!~!🙌🏻✨,2024-07-06,2.8,30.0,25.1,22.1,0.1,0.7,6.84,여름,비,,
"육류,고기요리",맛있게 잘 먹었습니다! 오랜만에 먹는 소고기인데 질 도 좋고 맛도 좋았어용!! 네이버 예약 후 가면 서비스 육회도 주셔서 두명이 배터지게 먹고왔답니당^...,2024-05-31,1.0,25.4,20.4,16.9,11.8,80.8,30.31,봄,비,,
"육류,고기요리",가족외식으로 왔어요~~~ 맛집으로 소문난 집인데 !! 소문이 사실입니다~~~ 너무 맛나고 저는 특히 직원분 이 너~~~무 친절하세요 센스도있으시고^^ 초...,2024-06-05,0.0,30.1,23.6,18.1,10.4,70.7,25.14,여름,맑음,,
"육류,고기요리","예전부터 지인들이랑 많이 방문했지만 모든고기부위
가 맛있는걸 알고와서 양도많고 오늘도 너무맛있게 
먹고 갑니다 ㅠㅠ 고기구울팁도 설명해주시고 ...",2024-07-05,4.1,26.1,23.4,21.3,1.4,9.5,11.25,여름,비,,
"육류,고기요리","재방문 의사 200% ,, 2명이서 한돈 500g세트 + 비냉 + 맥주랑 하이볼 주문했습니다. 돼지고기 맛은 두 말 하면 입 아프고 예약서비스로 주신 육회도 너무...",2024-06-02,0.0,25.8,20.4,15.7,12.4,84.9,28.7,여름,맑음,,
"육류,고기요리","고기도 잡내 없이 너무 맛있고 예약하면 나오는 육회
도 너무 맛있어요..! 직원분들도 너무 친절해서 다음에
고기랑 육회랑 같이 생각나면 이리로 올 것 같...",2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
"육류,고기요리",매 번 방문 할 때 마다 오길 잘했다 싶은 곳 입니다. 된 찌 소고기 들어가서 그런지 너무 맛있구요 고기는 말 해 뭐해 와규도 맛있던데 이번에는 한돈 세트 ...,2024-05-10,0.0,23.8,17.9,12.5,12.5,88.7,28.02,봄,맑음,,
"육류,고기요리",친구가 여기 맛있다고 해서 오늘 처음 먹어봤는데 정 말 맛있네요 서비스 육회도 주시고 정말 감사합니다 그리고 사장님도 너무 친절하시고 최고입니다 ...,2024-07-06,2.8,30.0,25.1,22.1,0.1,0.7,6.84,여름,비,,
"육류,고기요리","착한가격에 맛있는고기 잘먹었습니다~😊 차돌이랑 
등심이 특히 맛있었어요! 메뉴에 버섯추가도 있었으
면 좋겠네요~",2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
"육류,고기요리",와. 와인 콜키지 가능한 소고기집 찾다가 그저 콜키지 된다 하셔서 방문했는데.... 맛집이었네요??? 고기. 일 단 맛있습니다. 육즙도 맛나고. 숙성 잘 된 소고...,2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
"육류,고기요리","신림에 이런 소고기 맛집이 있었다니..🥩 하나도 안 질기고 엄마랑 기분 좋게 너무 잘먹었어요! 고기 질이 엄청 좋고, 직원분들 모두 친절하시고 요청사항...",2024-04-15,17.1,20.0,16.0,11.7,0.0,0.0,3.18,봄,비,,
"육류,고기요리","신림맛집 부뚜막에서 와규세트 주문했어요! 직원분들
도 친절하신 데다가 매장도 문이 활짝 열려 있어서 쾌
적합니다. 밑반찬도 깔끔하게 나와서 좋네요 🙂",2024-05-22,0.0,25.5,20.5,16.4,10.0,69.4,27.4,봄,맑음,,
"육류,고기요리","최근에 부뚜막을 다녀왔는데, 완전 대박이었어요! 고 기가 진짜 신선하고 부드러워서 입에서 살살 녹았어 요. 직원분들도 너무 친절해서 기분 좋게 먹을 ...",2024-07-01,0.0,31.3,26.3,22.0,8.3,56.5,24.69,여름,맑음,,
"육류,고기요리","신림 맛집 부뚜막에 방문했는데요!🥰 고기 질도 너무
좋았고 맛도 훌륭했어서 아주 맛있게 먹다가 갑니다
😇👍 가족모임 있으신 분들께 추천해 드려요🫶🏻",2024-05-15,20.6,18.8,12.6,7.2,3.1,21.8,8.35,봄,비,,
"육류,고기요리",돼지고기 자체가 너무 맛있어서 사장님께 숙성 어떻 게 하시냐고까지 물어본 집이에요~ 엄청 신선한 고기 를 바로 가지고 오시는 거더라구요. 각종 반찬...,2024-06-28,0.0,32.5,26.6,21.3,13.2,89.2,28.84,여름,맑음,,
"육류,고기요리",지방에서 차로 와서 주차가 걱정이었는데 친절하게 매장앞에 주차안내해 주셔서 너무 감동이네요. 서비 스 육사시미 ~~~ 오.~~~ 말해모해 고기 육즙...,2024-05-19,0.0,27.9,21.5,15.9,12.6,88.1,28.99,봄,맑음,,
"육류,고기요리",너무 맛있었어요! 외국에서 온 가족이랑 맛있게 잘 먹었습니다! 다음에 또 올게요!!,2024-07-05,4.1,26.1,23.4,21.3,1.4,9.5,11.25,여름,비,,
"육류,고기요리",고기가 매우 부드럽고 맛있었습니다!! 직원분들께서 반찬이나 찌개가 부족할때마다 부탁 안드려도 바로바 로 리필해주셔서 편하게 먹을 수 있었어요!! 네...,2024-05-09,0.0,21.8,16.1,10.9,12.8,91.4,27.17,봄,맑음,,
"육류,고기요리",하루 늦은 어버이날 챙기려 아는 분께 추천 받아서 왔 는데 고기도 너무 맛있고 냉소면이 정말 맛있었습니 다!̊̈!̊̈ 가운데 된찌도 짱맛도리 엄마도 엄청 맘에 ...,2024-05-09,0.0,21.8,16.1,10.9,12.8,91.4,27.17,봄,맑음,,
"육류,고기요리",직원분들 친절하시고 지금까지 와서 먹는 것 중에 제일 맛있었어요! 다음에 또 오겠습니당,2024-07-03,0.8,25.9,24.7,23.6,0.6,4.1,8.91,여름,비,,
"육류,고기요리",신림 사는 지인이 맛있다고해서 처음 방문한 신림고 깃집인데 가성비 넘 좋구 맛있는 곳이네요♡♡ 예약 하구 방문하면 육회도 서비스로 주시는데 육회...,2024-03-20,0.0,8.7,4.4,1.2,9.0,74.4,19.09,봄,맑음,,
"육류,고기요리",어버이날 기념 집 근처에서 외식하랴고 찾은 곳이에 요! 비오고 애매한 시간인데도 손님이 꽤 있더라구용 여기 삼겹살 엄청 맛있읍니다 ㅎㅎ 그리고 제일...,2024-05-06,12.3,15.7,13.9,13.4,0.0,0.0,2.71,봄,비,,
"육류,고기요리",부모님과 함께 식사를 했는데 고기 질도 좋았고 서비 스도 좋았습니다. 네이버로 예약했더니 육회서비스로 주셨고 마지막 서비스로 주신 소꼬리도 맛있었...,2024-04-28,0.0,28.9,20.7,13.0,11.4,83.2,25.14,봄,맑음,,
"육류,고기요리",고기도 다 맛있고 된장찌개도 맛있어요!! ㅎㅎㅎㅎ 가성비도 좋아서 둘이서 배부르게 잘 먹었어요,2024-05-27,0.0,22.6,18.5,14.1,9.9,68.3,26.89,봄,맑음,,
"육류,고기요리",고기 상태가 좋네요 깔끔한 곳 찾아서 왔는데 예약했 다고 바로 불 준비해주시고 반찬 구성도 알차서 마음 에 들어요 사장님도 친절하시고 서비스로 주신 ...,2024-04-21,0.0,21.7,17.2,13.3,1.0,7.5,11.86,봄,흐림,,
"육류,고기요리","🙌🏻 신림에 이런 소고기 맛집이?! 🙌🏻 - 와규 모둠 500 g / 특수부위 240g / 비빔냉면 - 초반에 우다다 올려서 한차례 맛있게 구워주시고, 나머지는 직접 구...",2024-04-10,0.0,18.5,13.8,10.2,3.9,30.0,15.38,봄,흐림,,
"육류,고기요리","남자친구가 맛있는 곳 있다며 데리고 온 곳인데 구운
거 먹자마자 사르르 녹았어요!! 특별한 날 또는 특별한
 분 데리고 다시 찾고 싶은 곳이에요~~",2024-05-28,0.0,26.1,20.4,14.3,11.1,76.6,27.55,봄,맑음,,
"육류,고기요리",처음 와봤는데 고기질도 너무 좋고 맛있었습니다!!! 지인들이랑 같이오기 좋은 맛집입니다!!! 최고였습니다,2024-07-01,0.0,31.3,26.3,22.0,8.3,56.5,24.69,여름,맑음,,
"육류,고기요리",회식 장소 찾다가 후보 몇개 중 고르고 골라서 방문하 게 됐습니다~다들 맛있게 잘드셔서 고른 보람이 있더 라구요! 서비스로 주신 육회랑 육사시미도 너무...,2024-06-04,0.0,29.3,22.8,16.3,13.5,92.5,31.17,여름,맑음,,
"육류,고기요리","고기가 너무 부드럽고 맛있었어요😀😀
서비스도 주시고 양도 많은거 같아서 배부르게 잘 먹었습니다!",2024-06-22,16.5,26.1,24.2,22.6,0.0,0.0,3.59,여름,비,,
"육류,고기요리",일단사장님이너무너무친절하세요! 몇번갔었는데리 뷰쓰는거는처음이네용 고기도 처음에 구워주시고 된 장찌개 넘마싯구 특히 김치도 맛잇어서 고기먹...,2024-07-06,2.8,30.0,25.1,22.1,0.1,0.7,6.84,여름,비,,
"육류,고기요리","삼겹, 항정은 처음인데 돼지도 너무 맛있어요~ 
요청사항 잘 들어주시고 육회 서비스 너무 좋습니다☺️",2024-06-12,0.0,31.8,24.8,19.2,11.3,76.9,27.73,여름,맑음,,
"육류,고기요리","우선 고기맛, 사장님이랑 직원분들 친절함은 완벽합 니다!! 맛있는 소고기가 너무 먹고싶어서 찾아간곳이 였는데 니즈 충족 완벽히 됐어요!! 다만 주말이...",2024-05-18,0.0,26.5,20.7,16.0,11.3,79.0,26.88,봄,맑음,,
"육류,고기요리","신림 맛집!!! 웨이팅 할까봐 예약했는데 서비스도 주시
고 넘넘 맛있게 먹고갑니당 이가격에 소고기 크!!최고!
!! ㅎㅎ",2024-05-18,0.0,26.5,20.7,16.0,11.3,79.0,26.88,봄,맑음,,
"육류,고기요리",모둠으로 시키고 소꼬리추가햐서 먹엇눈데 짱맛!! 맛잇게냠냠!!!!!!담에 또 갈 예정!,2024-06-05,0.0,30.1,23.6,18.1,10.4,70.7,25.14,여름,맑음,,
"육류,고기요리",고기도 좋고 예약시에 육회와 음료도 주시고 맛도 너무 맛있게 잘먹었어요!! 가족 모임 친목모임으로도 추천합니당!!질도 너무 좋고 또오고 싶은 곳이에요♡,2024-05-04,0.0,28.5,21.4,14.6,12.5,89.9,26.61,봄,맑음,,
"육류,고기요리",사장님 넘 친절하시고 너무 재밌어요 ㅎㅎ 유쾌하시고 고기도 맛있고!! 처음 왔는데 또 방문할 것 같아요 ^.^,2024-06-01,0.0,25.2,20.7,17.5,9.4,64.4,27.02,여름,맑음,,
"육류,고기요리",내 20대 초반부터 지금 후반까지 최애 와규집 ㅠㅠ 물 냉 안 좋아해서 안 먹다 오늘 첨 시켜먹어봤는데 ㄹㅇ 물냉 개맛집이었네 ㄷ ㄷ 소꼬리도 차돌 업글...,2024-04-27,0.0,26.2,18.2,11.5,12.5,91.9,28.23,봄,맑음,,
"육류,고기요리",어버이날이라서 가족끼리 갔어요 ㅎ 고기도 너무 맛 있어요 ㅎ 아유 직원분들 너무 친절하세요 ㅠㅠ! 서비 스도 주시고 부족한거 말씀안드려도 먼저 챙겨...,2024-05-08,0.0,21.4,14.7,9.0,11.0,78.6,27.21,봄,맑음,,
"육류,고기요리","가성비도 좋고 사장님이 엄청 친절하세요!!!
부모님 오셔서 같이 왔는데 너무 만족했습니다😄",2024-06-09,0.0,28.8,22.9,17.4,12.3,83.7,28.38,여름,맑음,,
"육류,고기요리","직원분들이 친절하시고 고기도 맛있어요.
또 방문 하겠습니다.
잘 먹고갑니다~!",2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
"육류,고기요리","고기 질 진짜 좋아요‼️ 직원분들도 전부 친절하시고 부
담스럽지도 않아요! 주변인들에게 추천할만한 집이라
고 생각합니다. 밥도 찰지고 된찌에 슥슥- 넘 잘...",2024-05-12,0.0,21.6,16.6,11.9,11.4,80.9,28.91,봄,맑음,,
"육류,고기요리","이사3일차에 퇴근후 뭘 먹어야지 맛집 검색하니 맛평
도 좋았고 때마침 소고기 먹고싶어서 왔는데 찐 맛있
었음",2024-06-04,0.0,29.3,22.8,16.3,13.5,92.5,31.17,여름,맑음,,
"육류,고기요리",일본 가서 와규 진짜 맛있는 거 먹었는데 그 고기에 거의 필적하는 수준으로 맛있습니다. 사장님 감사합니다. ㅎㅎ,2024-06-16,0.0,29.5,24.3,19.9,13.2,89.2,30.02,여름,맑음,,
"육류,고기요리","고기 첫 입에 감탄,,,,,, 휴일 전 최고의 선택,,,, 고기 질
너무 좋고 기본찬도 깔끔하구 직원분들 정말 친절해
요🩷 신림역 부근 최고의 고깃집 인정합니다 !!",2024-05-14,0.0,24.7,18.8,12.7,13.0,91.5,30.02,봄,맑음,,
"육류,고기요리",여긴 진짜 삼겹살이 미쳤어요....... 둘이서 오인분 먹었습니다 또올게요❤,2024-06-25,0.0,27.2,22.9,19.1,10.7,72.3,25.24,여름,맑음,,
"육류,고기요리",가게 분위기가 좋아요!! 직원분들도 친절하시고 응대 도 빠릅니당 고기 맛도 좋고 예약하시면 육회 서비스 나와요! 술 온도가 딱 시원-하니 맛있으니 가능...,2024-06-23,5.1,30.1,25.1,22.5,3.8,25.7,18.84,여름,비,,
"육류,고기요리",직원분이 친절하시고 잘 구워주셔서 정말 감사해요~~또 올게요~,2024-06-18,0.0,32.9,26.0,20.4,13.4,90.5,29.22,여름,맑음,,
"육류,고기요리",신림사는 친구가 추천해줘서 왔는데 기대했던 것보다 너무 맛있었어요🫶 사장님이 처음에 친절하게 설명 해주시면서 고기 구워주셔서 더 좋았답니다 네...,2024-04-13,0.0,27.3,19.1,11.2,12.1,92.4,25.65,봄,맑음,,
"육류,고기요리","처음 가봤는데 고기도 너무 부드럽고 맛있어요!!! 직원
분이 엄청 친절하시고 고기도 정말 맛있게 구워주셨
어요 ㅎㅎ 재방문 의사 만땅입니다😁😁",2024-05-30,0.0,24.6,20.7,16.2,0.6,4.1,12.97,봄,흐림,,
"육류,고기요리",올때마다 항상 맛있는 믿고 가는 맛집! 고기도 싱싱? 하고 부드럽고 맛있어요 질리지도 않고 가본 사람들은 아는 맛집입니다!,2024-05-06,12.3,15.7,13.9,13.4,0.0,0.0,2.71,봄,비,,
"육류,고기요리",소고기에 와인? 이건 무조건이에요 다음에도 또 갈겁니다!,2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
"육류,고기요리",와규 너무 맛있어요~ 반찬들고 깔끔하고 좋아요! 친절하셔서 기분 좋게 먹었습니다^^,2024-05-22,0.0,25.5,20.5,16.4,10.0,69.4,27.4,봄,맑음,,
"육류,고기요리","고기도 신선하고 너무 맛있었어요
와규 사시미 진짜 쫠깃 하고 소꼬리구이도 첨 먹어봤는데 맛있었어요👍",2024-04-23,0.0,24.2,17.3,13.2,6.0,44.4,19.16,봄,흐림,,
"육류,고기요리","지난번에 너무 만족해서 다시 왔습니다!
고기가 정말 맛있어요~ 신림역에서 고기맛집 1티어인듯",2024-05-25,0.0,24.7,21.4,18.7,2.3,15.9,17.34,봄,흐림,,
"육류,고기요리","고기가 정말 맛있는데 가격이 말도 안돼요
그리고 친절하시고 서비스도 잘 주십니다",2024-06-14,0.0,33.0,26.3,21.4,9.1,61.5,24.24,여름,맑음,,
"육류,고기요리","지인 추천으로 온 맛집 !
사장님 직원분 모두 친절하시고 예약하니까 육회가 서비스 ㅋㅋㅋ 맛있게 먹을게요~!",2024-06-08,16.9,25.0,20.3,17.9,2.5,17.0,9.7,여름,비,,
"육류,고기요리","500일 기념으로 소고기먹으러 갔어요ㅎㅎ
고기 야들야들
그리고 고기구워주시고 엄청 친절하셔요",2024-04-27,0.0,26.2,18.2,11.5,12.5,91.9,28.23,봄,맑음,,
"육류,고기요리",고기가 너무너무 맛있어요.. 둘이 먹었는데 와규500 시키고 공기밥 두 개 시키니까 엄청 배불렀습니다 다 먹고 냉면 시키려고 했는데 배불러서 못시켰어...,2024-02-24,2.3,5.9,2.0,-1.3,5.5,49.5,12.07,겨울,눈,104.0,눈
"육류,고기요리",고기 질도 너무 좋고 너무 맛있어서 놀랐어요 ㅎㅎ 배부르게 잘 먹고 갑니다😋,2024-05-09,0.0,21.8,16.1,10.9,12.8,91.4,27.17,봄,맑음,,
"육류,고기요리",상태좋은 고기가 눈에 보여서 더 좋은것같아요. 직원분들도 다들 친절하시고 오늘 처음왔는데 단골확정입니다.,2024-05-07,2.4,15.0,13.3,12.2,0.0,0.0,4.75,봄,비,,
"육류,고기요리","사장님, 직원 분들 다 너무 친절하시고 고기 질이 좋아서 너무 좋았어요! 남자친구 생일이라 왔는데 
기분 좋게 먹고 갔습니다! 다음에도 또 오려구용👍",2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
"육류,고기요리",고기 질도 좋고 너무 맛있습니다. 친구 모임하기 딱 좋은 곳이에요!,2024-06-15,6.1,28.2,24.2,21.8,3.4,23.0,15.71,여름,비,,
